Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (ISO3),Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","21","Brazil","DZA","Algeria","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","16499","","Official data"
"TM","Detailed trade matrix","21","Brazil","DZA","Algeria","5910","Export Quantity","237","Oil, soybean","2013","2013","tonnes","112974","","Official data"
"TM","Detailed trade matrix","21","Brazil","DZA","Algeria","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","20","","Official data"
"TM","Detailed trade matrix","21","Brazil","AGO","Angola","5910","Export Quantity","237","Oil, soybean","2013","2013","tonnes","1012","","Official data"
"TM","Detailed trade matrix","21","Brazil","AGO","Angola","5910","Export Quantity","239","Soya sauce","2013","2013","tonnes","5","","Official data"
"TM","Detailed trade matrix","21","Brazil","AGO","Angola","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","22","","Official data"
"TM","Detailed trade matrix","21","Brazil","ATG","Antigua and Barbuda","5910","Export Quantity","237","Oil, soybean","2013","2013","tonnes","166","","Official data"
"TM","Detailed trade matrix","21","Brazil","ARG","Argentina","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","153","","Official data"
"TM","Detailed trade matrix","21","Brazil","ARG","Argentina","5910","Export Quantity","237","Oil, soybean","2013","2013","tonnes","0","","Official data"
"TM","Detailed trade matrix","21","Brazil","ARG","Argentina","5910","Export Quantity","239","Soya sauce","2013","2013","tonnes","382","","Official data"
"TM","Detailed trade matrix","21","Brazil","ARG","Argentina","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","848","","Official data"
"TM","Detailed trade matrix","21","Brazil","AUS","Australia","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","3788","","Official data"
"TM","Detailed trade matrix","21","Brazil","AUS","Australia","5910","Export Quantity","237","Oil, soybean","2013","2013","tonnes","5584","","Official data"
"TM","Detailed trade matrix","21","Brazil","AUS","Australia","5910","Export Quantity","239","Soya sauce","2013","2013","tonnes","0","","Official data"
"TM","Detailed trade matrix","21","Brazil","BGD","Bangladesh","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","8740","","Official data"
"TM","Detailed trade matrix","21","Brazil","BGD","Bangladesh","5910","Export Quantity","237","Oil, soybean","2013","2013","tonnes","61896","","Official data"
"TM","Detailed trade matrix","21","Brazil","BGD","Bangladesh","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","40620","","Official data"
"TM","Detailed trade matrix","21","Brazil","BLZ","Belize","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","131","","Official data"
"TM","Detailed trade matrix","21","Brazil","BOL","Bolivia (Plurinational State of)","5910","Export Quantity","238","Cake, soybeans","2013","2013","tonnes","1","","Official data"
"TM","Detailed trade matrix","21","Brazil","BOL","Bolivia (Plurinational State of)","5910","Export Quantity","237","Oil, soybean","2013","2013","tonnes","10196","","Official data"
"TM","Detailed trade matrix","21","Brazil","BOL","Bolivia (Plurinational State of)","5910","Export Quantity","239","Soya sauce","2013","2013","tonnes","24","","Official data"
"TM","Detailed trade matrix","21","Brazil","BOL","Bolivia (Plurinational State of)","5910","Export Quantity","236","Soybeans","2013","2013","tonnes","4","","Official data"
"TM","Detailed trade matrix","21","Brazil","CPV","Cabo Verde","5910","Export Quantity","239","Soya sauce","2013","2013","tonnes","3","","Official data"
