"";"area_code";"area";"item_code";"item";"year";"total_supply";"exports";"feed";"food";"imports";"losses";"other";"processing";"production";"seed";"stock_withdrawal";"stock_addition";"balancing";"unspecified"
"53";1;"Armenia";866;"Cattle";2013;510180;760;NA;NA;574;NA;NA;509420;509606;NA;NA;NA;0;NA
"112";1;"Armenia";976;"Sheep";2013;593509;37176;NA;NA;0;NA;NA;556333;593509;NA;NA;NA;0;NA
"140";1;"Armenia";1016;"Goats";2013;3060;0;NA;NA;0;NA;NA;3060;3060;NA;NA;NA;0;NA
"199";1;"Armenia";1034;"Pigs";2013;152412;0;NA;NA;0;NA;NA;152412;152412;NA;NA;NA;0;NA
"220";1;"Armenia";1096;"Horses";2013;0;0;NA;NA;0;NA;NA;0;NA;NA;NA;NA;0;NA
"226";1;"Armenia";1110;"Mules";2013;8;NA;NA;NA;8;NA;NA;8;NA;NA;NA;NA;0;NA
"238";1;"Armenia";1140;"Rabbits and hares";2013;0;0;NA;NA;0;NA;NA;0;NA;NA;NA;NA;0;NA
"261";1;"Armenia";2000;"Fodder crops";2013;2516242;NA;2516242;NA;NA;NA;NA;NA;2516242;NA;NA;NA;0;0
"283";1;"Armenia";2029;"Poultry Birds";2013;12444000;85000;NA;NA;7243000;NA;NA;12359000;5201000;NA;NA;NA;0;NA
"311";1;"Armenia";2511;"Wheat and products";2013;672944;954;93000;388788;361386;32336;85;9985;311558;29900;-117896;117896;0;NA
"338";1;"Armenia";2513;"Barley and products";2013;197995;0;136800;3;9212;14900;25592;6500;188783;14200;0;0;0;NA
"365";1;"Armenia";2514;"Maize and products";2013;102421;0;95717;104;81515;6500;0;0;20906;100;0;0;0;NA
"392";1;"Armenia";2515;"Rye and products";2013;1298;0;838;351;351;9;0;0;947;100;0;0;0;NA
"419";1;"Armenia";2516;"Oats";2013;5723;0;4172;1105;1105;46;0;0;4618;400;0;0;0;NA
"446";1;"Armenia";2517;"Millet and products";2013;111;0;111;0;111;0;0;0;0;0;0;0;0;NA
"468";1;"Armenia";2518;"Sorghum and products";2013;18;0;18;0;18;0;0;0;0;0;0;0;0;NA
"490";1;"Armenia";2520;"Cereals, Other";2013;20759;183;906;5832;3912;900;11538;0;16847;1400;0;0;0;NA
"517";1;"Armenia";2531;"Potatoes and products";2013;665886;9184;225100;134273;5375;96200;15929;77500;660511;122700;15000;-15000;0;NA
"544";1;"Armenia";2532;"Cassava and products";2013;152;0;152;0;152;0;0;0;0;0;0;0;0;NA
"566";1;"Armenia";2534;"Roots, Other";2013;28;0;28;0;28;0;0;0;0;0;0;0;0;NA
"588";1;"Armenia";2537;"Sugar beet";2013;54558;0;558;0;58;0;0;54000;54500;0;0;0;0;NA
"615";1;"Armenia";2543;"Sweeteners, Other";2013;3411;0;0;5406;1651;0;5;0;1760;0;2000;-2000;0;NA
"637";1;"Armenia";2544;"Molasses";2013;2160;0;2160;0;0;0;0;0;2160;0;0;0;0;NA
"660";1;"Armenia";2546;"Beans";2013;4975;0;4526;0;43;249;0;0;4932;200;0;0;0;NA
"687";1;"Armenia";2547;"Peas";2013;1820;0;1820;0;1741;0;0;0;79;0;0;0;0;NA
