"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"Nível";"Cód.";"Município";"Ano x Tipo de rebanho"
"Nível";"Cód.";"Município";"2013"
"Nível";"Cód.";"Município";"Bovino";"Bubalino";"Equino";"Suíno - total";"Suíno - matrizes de suínos";"Caprino";"Ovino";"Galináceos - total";"Galináceos - galinhas";"Codornas"
"MU";"1100015";"Alta Floresta D'Oeste (RO)";"386456";"137";"4743";"6399";"1341";"237";"5086";"80070";"34822";"-"
"MU";"1100023";"Ariquemes (RO)";"427419";"408";"6100";"5103";"950";"668";"5569";"78489";"35288";"-"
"MU";"1100031";"Cabixi (RO)";"126719";"-";"1782";"2666";"568";"158";"2836";"36680";"18000";"-"
"MU";"1100049";"Cacoal (RO)";"427708";"148";"5586";"8994";"1476";"279";"4435";"229399";"103229";"-"
"MU";"1100056";"Cerejeiras (RO)";"84383";"9";"1219";"2864";"505";"16";"2084";"17380";"8500";"-"
"MU";"1100064";"Colorado do Oeste (RO)";"253874";"51";"3387";"8191";"1467";"68";"3482";"68163";"30050";"-"
"MU";"1100072";"Corumbiara (RO)";"281585";"25";"3241";"5258";"1013";"74";"2175";"44155";"20230";"-"
"MU";"1100080";"Costa Marques (RO)";"213667";"37";"1995";"1801";"423";"359";"2843";"29919";"13461";"-"
"MU";"1100098";"Espigão D'Oeste (RO)";"370767";"89";"4537";"7459";"1172";"201";"3890";"81098";"35683";"-"
"MU";"1100106";"Guajará-Mirim (RO)";"117420";"26";"2341";"2042";"379";"129";"3120";"17710";"7970";"-"
"MU";"1100114";"Jaru (RO)";"509926";"475";"8701";"6655";"1121";"392";"3764";"97568";"43904";"-"
"MU";"1100122";"Ji-Paraná (RO)";"428618";"65";"6936";"4949";"952";"611";"5246";"87612";"42384";"-"
"MU";"1100130";"Machadinho D'Oeste (RO)";"237290";"6";"3823";"4801";"987";"108";"3951";"76858";"34248";"-"
"MU";"1100148";"Nova Brasilândia D'Oeste (RO)";"154298";"29";"2376";"3077";"618";"188";"2817";"44473";"20504";"-"
"MU";"1100155";"Ouro Preto do Oeste (RO)";"345353";"229";"6025";"4253";"938";"430";"2075";"48202";"21686";"-"
"MU";"1100189";"Pimenta Bueno (RO)";"248692";"44";"3410";"3788";"751";"243";"5307";"107102";"48659";"-"
"MU";"1100205";"Porto Velho (RO)";"711903";"714";"9846";"9744";"2142";"986";"9568";"114683";"51608";"45000"
"MU";"1100254";"Presidente Médici (RO)";"292905";"148";"4716";"4618";"655";"429";"2869";"65313";"29384";"-"
"MU";"1100262";"Rio Crespo (RO)";"118342";"46";"1294";"780";"98";"248";"1516";"12590";"5714";"-"
"MU";"1100288";"Rolim de Moura (RO)";"226115";"41";"3354";"4370";"801";"103";"4282";"89618";"46890";"-"
"MU";"1100296";"Santa Luzia D'Oeste (RO)";"166641";"32";"1992";"2389";"308";"39";"1789";"34395";"15066";"-"
"MU";"1100304";"Vilhena (RO)";"105138";"27";"1717";"2927";"699";"257";"2541";"237516";"170000";"-"
"MU";"1100320";"São Miguel do Guaporé (RO)";"254362";"42";"4212";"5531";"784";"345";"2375";"76277";"36361";"-"
"MU";"1100338";"Nova Mamoré (RO)";"490298";"433";"7288";"8118";"1452";"846";"3929";"82905";"37307";"-"
"MU";"1100346";"Alvorada D'Oeste (RO)";"241850";"208";"4063";"2425";"652";"239";"4515";"44561";"20052";"-"
"MU";"1100379";"Alto Alegre dos Parecis (RO)";"165944";"10";"2068";"4196";"770";"301";"2301";"41900";"18948";"-"
"MU";"1100403";"Alto Paraíso (RO)";"221872";"5";"2309";"1680";"395";"524";"1159";"28262";"12563";"-"
"MU";"1100452";"Buritis (RO)";"454748";"247";"5040";"5590";"1006";"208";"1949";"76737";"35116";"-"
"MU";"1100502";"Novo Horizonte do Oeste (RO)";"136804";"74";"2190";"2681";"534";"100";"817";"41121";"17586";"-"
"MU";"1100601";"Cacaulândia (RO)";"239817";"212";"2928";"2502";"488";"612";"1414";"26087";"11631";"-"
"MU";"1100700";"Campo Novo de Rondônia (RO)";"347723";"103";"4607";"4022";"801";"318";"2059";"56947";"25625";"-"
"MU";"1100809";"Candeias do Jamari (RO)";"184782";"66";"3147";"2726";"703";"826";"3201";"50774";"22849";"-"
"MU";"1100908";"Castanheiras (RO)";"103463";"92";"1273";"1139";"199";"70";"1143";"19497";"8882";"-"
"MU";"1100924";"Chupinguaia (RO)";"298301";"51";"2624";"2224";"565";"77";"2002";"22431";"10000";"-"
