"Tabela 94 - Vacas ordenhadas"
"Variável - Vacas ordenhadas (Cabeças)"
"Nível";"Cód.";"Município";"Ano"
"Nível";"Cód.";"Município";"2013"
"MU";"1100015";"Alta Floresta D'Oeste (RO)";"6691"
"MU";"1100023";"Ariquemes (RO)";"9819"
"MU";"1100031";"Cabixi (RO)";"8450"
"MU";"1100049";"Cacoal (RO)";"18361"
"MU";"1100056";"Cerejeiras (RO)";"3163"
"MU";"1100064";"Colorado do Oeste (RO)";"14318"
"MU";"1100072";"Corumbiara (RO)";"17135"
"MU";"1100080";"Costa Marques (RO)";"6003"
"MU";"1100098";"Espigão D'Oeste (RO)";"17788"
"MU";"1100106";"Guajará-Mirim (RO)";"2021"
"MU";"1100114";"Jaru (RO)";"38771"
"MU";"1100122";"Ji-Paraná (RO)";"24286"
"MU";"1100130";"Machadinho D'Oeste (RO)";"17288"
"MU";"1100148";"Nova Brasilândia D'Oeste (RO)";"8078"
"MU";"1100155";"Ouro Preto do Oeste (RO)";"31816"
"MU";"1100189";"Pimenta Bueno (RO)";"6205"
"MU";"1100205";"Porto Velho (RO)";"11475"
"MU";"1100254";"Presidente Médici (RO)";"17644"
"MU";"1100262";"Rio Crespo (RO)";"1338"
"MU";"1100288";"Rolim de Moura (RO)";"12134"
"MU";"1100296";"Santa Luzia D'Oeste (RO)";"7389"
"MU";"1100304";"Vilhena (RO)";"2400"
"MU";"1100320";"São Miguel do Guaporé (RO)";"12325"
"MU";"1100338";"Nova Mamoré (RO)";"23106"
"MU";"1100346";"Alvorada D'Oeste (RO)";"15907"
"MU";"1100379";"Alto Alegre dos Parecis (RO)";"4493"
"MU";"1100403";"Alto Paraíso (RO)";"3255"
"MU";"1100452";"Buritis (RO)";"17291"
"MU";"1100502";"Novo Horizonte do Oeste (RO)";"7080"
"MU";"1100601";"Cacaulândia (RO)";"7288"
"MU";"1100700";"Campo Novo de Rondônia (RO)";"18483"
"MU";"1100809";"Candeias do Jamari (RO)";"3187"
"MU";"1100908";"Castanheiras (RO)";"4016"
"MU";"1100924";"Chupinguaia (RO)";"900"
"MU";"1100940";"Cujubim (RO)";"4943"
"MU";"1101005";"Governador Jorge Teixeira (RO)";"23020"
"MU";"1101104";"Itapuã do Oeste (RO)";"1874"
"MU";"1101203";"Ministro Andreazza (RO)";"5999"
"MU";"1101302";"Mirante da Serra (RO)";"11042"
"MU";"1101401";"Monte Negro (RO)";"13566"
"MU";"1101435";"Nova União (RO)";"11899"
"MU";"1101450";"Parecis (RO)";"5076"
"MU";"1101468";"Pimenteiras do Oeste (RO)";"2564"
"MU";"1101476";"Primavera de Rondônia (RO)";"3356"
"MU";"1101484";"São Felipe D'Oeste (RO)";"4169"
"MU";"1101492";"São Francisco do Guaporé (RO)";"15323"
"MU";"1101500";"Seringueiras (RO)";"9634"
"MU";"1101559";"Teixeirópolis (RO)";"9906"
"MU";"1101609";"Theobroma (RO)";"13344"
"MU";"1101708";"Urupá (RO)";"21678"
"MU";"1101757";"Vale do Anari (RO)";"9457"
"MU";"1101807";"Vale do Paraíso (RO)";"15552"
"MU";"1200013";"Acrelândia (AC)";"8639"
"MU";"1200054";"Assis Brasil (AC)";"1023"
"MU";"1200104";"Brasiléia (AC)";"5632"
"MU";"1200138";"Bujari (AC)";"1752"
"MU";"1200179";"Capixaba (AC)";"4224"
"MU";"1200203";"Cruzeiro do Sul (AC)";"1868"
"MU";"1200252";"Epitaciolândia (AC)";"4769"
"MU";"1200302";"Feijó (AC)";"3252"
"MU";"1200328";"Jordão (AC)";"189"
