system:index,area,class,co_mun,year,.geo
0_00000000000000000001_0_0,299913.3539818895,0,3159803.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001_0_1,110.3168382446289,39,3159803.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000001a_0_0,86126.19559775105,0,3162104.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000001a_0_1,407.67763190764936,39,3162104.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000001b_0_0,54707.015355835545,0,3162203.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000001b_0_1,31.17244697875977,39,3162203.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000035_0_0,242342.06655491664,0,3164209.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000035_0_1,935.4801257629408,39,3164209.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005f_0_0,117714.4746575533,0,3168101.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005f_0_1,133.30099848932034,39,3168101.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000006d_0_0,158405.60945313846,0,3169604.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000006d_0_1,23897.778340791134,39,3169604.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000073_0_0,367718.8590775555,0,3170206.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000073_0_1,43629.24653919961,39,3170206.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000075_0_0,723800.3537826021,0,3170404.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000075_0_1,120620.47139412482,39,3170404.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000080_0_0,187592.04001227196,0,3171006.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000080_0_1,3602.3402007333343,39,3171006.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000139_0_0,21073.78567377791,0,3500204.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000146_0_0,96219.1784594919,0,3502101.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000146_0_1,148.21628073730528,39,3502101.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000014c_0_0,100228.04305466943,0,3503208.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000014c_0_1,62.454889239813134,39,3503208.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000015a_0_0,20491.800884948647,0,3505104.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000015b_0_0,44325.31970486103,0,3505203.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000015b_0_1,73.11832876586897,39,3505203.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000015c_0_0,153909.83651713553,0,3505500.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000015c_0_1,2637.398591347052,39,3505500.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000164_0_0,50604.09781117516,0,3506508.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000164_0_1,2352.30718334347,39,3506508.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000017d_0_0,86076.8685853861,0,3510807.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000017d_0_1,275.43632914534174,39,3510807.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001b0_0_0,106478.87917860165,0,3517406.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001b0_0_1,19291.202371637628,39,3517406.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001be_0_0,29061.605461353836,0,3519303.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001c6_0_0,27932.781760735394,0,3520707.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001d8_0_0,50124.77878937442,0,3525102.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001d8_0_1,18.81428034667969,39,3525102.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001d9_0_0,68483.25678207715,0,3525300.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001d9_0_1,162.3041045104974,39,3525300.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001f4_0_0,52432.35288250426,0,3529302.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001f4_0_1,12.739669110107425,39,3529302.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000204_0_0,137120.14060985553,0,3531902.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000204_0_1,1622.5173533391078,39,3531902.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000022f_0_0,73520.08098547118,0,3536604.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000022f_0_1,262.7453394165037,39,3536604.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000251_0_0,77918.75678976109,0,3541604.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000251_0_1,0.6667480285644531,39,3541604.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000263_0_0,72770.53444607844,0,3544251.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000263_0_1,1576.9880914978041,39,3544251.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000269_0_0,30257.82750254882,0,3544905.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000269_0_1,289.02216723817264,39,3544905.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000027d_0_0,130704.64749656747,0,3548054.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000027d_0_1,44.05559343872049,39,3548054.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000280_0_0,113609.22136898029,0,3548906.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000280_0_1,0.8305911560058594,39,3548906.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000002b9_0_0,64046.71185162328,0,4100509.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000002b9_0_1,2062.6777626728885,39,4100509.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000002e1_0_0,23182.149173165693,0,4115002.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000002e1_0_1,27.355434600830097,39,4115002.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000002f8_0_0,85592.94439854793,0,4121000.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000002f8_0_1,5828.011595191753,39,4121000.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000314_0_0,104808.74415607328,0,4301875.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000314_0_1,43.59131379394534,39,4301875.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000315_0_0,71705.6266382045,0,4308656.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000315_0_1,8086.768847754187,39,4308656.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000316_0_0,109643.16757687871,0,4310553.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000316_0_1,2366.8425612586693,39,4310553.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000317_0_0,321486.96258393826,0,4310603.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000317_0_1,17623.409929421876,39,4310603.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000318_0_0,153629.70718840128,0,4311718.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000318_0_1,14546.459553224284,39,4311718.0,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
