"";"co_mun";"nm_mun";"co_state";"nm_state";"area_plant";"area_harv";"prod_bean";"exp_bean";"exp_bean_d";"exp_oil";"exp_oil_d";"exp_cake";"exp_cake_d";"imp_bean";"imp_bean_d";"imp_oil";"imp_oil_d";"imp_cake";"imp_cake_d";"proc_fac";"proc_cap";"ref_fac";"ref_cap";"bot_cap";"population";"cattle";"cattle_milked";"buffalo";"horse";"pig";"pig_mother";"goat";"sheep";"chicken";"chicken_layer";"quail";"storage_cap"
"1";1100015;"ALTA FLORESTA D'OESTE";11;"RO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25728;386456;6691;137;4743;6399;1341;237;5086;80070;34822;0;0
"2";1100023;"ARIQUEMES";11;"RO";1642;1642;4926;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101269;427419;9819;408;6100;5103;950;668;5569;78489;35288;0;3861
"3";1100031;"CABIXI";11;"RO";14500;14500;43500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6495;126719;8450;0;1782;2666;568;158;2836;36680;18000;0;2025
"4";1100049;"CACOAL";11;"RO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85863;427708;18361;148;5586;8994;1476;279;4435;229399;103229;0;12807
"5";1100056;"CEREJEIRAS";11;"RO";25000;25000;78000;175533,519062863;92997040,9981373;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18041;84383;3163;9;1219;2864;505;16;2084;17380;8500;0;2970
"6";1100064;"COLORADO DO OESTE";11;"RO";3000;3000;9900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19190;253874;14318;51;3387;8191;1467;68;3482;68163;30050;0;0
"7";1100072;"CORUMBIARA";11;"RO";33000;33000;110550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9036;281585;17135;25;3241;5258;1013;74;2175;44155;20230;0;3760
"8";1100080;"COSTA MARQUES";11;"RO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15853;213667;6003;37;1995;1801;423;359;2843;29919;13461;0;668
"9";1100098;"ESPIGÃO D'OESTE";11;"RO";200;200;480;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31699;370767;17788;89;4537;7459;1172;201;3890;81098;35683;0;0
"10";1100106;"GUAJARÁ-MIRIM";11;"RO";0;0;0;0;0;6491,323;8224563;0;0;0;0;0;0;0;0;0;0;0;0;0;45761;117420;2021;26;2341;2042;379;129;3120;17710;7970;0;0
"11";1100114;"JARU";11;"RO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55597;509926;38771;475;8701;6655;1121;392;3764;97568;43904;0;3861
"12";1100122;"JI-PARANÁ";11;"RO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;128026;428618;24286;65;6936;4949;952;611;5246;87612;42384;0;0
"13";1100130;"MACHADINHO D'OESTE";11;"RO";720;720;2592;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35633;237290;17288;6;3823;4801;987;108;3951;76858;34248;0;2970
"14";1100148;"NOVA BRASILÂNDIA D'OESTE";11;"RO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21427;154298;8078;29;2376;3077;618;188;2817;44473;20504;0;0
"15";1100155;"OURO PRETO DO OESTE";11;"RO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40099;345353;31816;229;6025;4253;938;430;2075;48202;21686;0;1469
"16";1100189;"PIMENTA BUENO";11;"RO";105;105;315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36939;248692;6205;44;3410;3788;751;243;5307;107102;48659;0;0
"17";1100205;"PORTO VELHO";11;"RO";240;240;596;53103,6274509435;28021508,9614266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;484992;711903;11475;714;9846;9744;2142;986;9568;114683;51608;45000;24160
"18";1100254;"PRESIDENTE MÉDICI";11;"RO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23017;292905;17644;148;4716;4618;655;429;2869;65313;29384;0;918
"19";1100262;"RIO CRESPO";11;"RO";800;800;2784;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3666;118342;1338;46;1294;780;98;248;1516;12590;5714;0;0
"20";1100288;"ROLIM DE MOURA";11;"RO";1500;1500;3781;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55357;226115;12134;41;3354;4370;801;103;4282;89618;46890;0;4252
"21";1100296;"SANTA LUZIA D'OESTE";11;"RO";300;300;720;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8887;166641;7389;32;1992;2389;308;39;1789;34395;15066;0;0
"22";1100304;"VILHENA";11;"RO";43000;43000;141900;176681,379709145;94069901,9958377;0;0;0;0;0;0;0;0;0;0;1;300;0;0;0;87727;105138;2400;27;1717;2927;699;257;2541;237516;170000;0;5486
"23";1100320;"SÃO MIGUEL DO GUAPORÉ";11;"RO";2300;2300;6900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23668;254362;12325;42;4212;5531;784;345;2375;76277;36361;0;0
"24";1100338;"NOVA MAMORÉ";11;"RO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26227;490298;23106;433;7288;8118;1452;846;3929;82905;37307;0;0
"25";1100346;"ALVORADA D'OESTE";11;"RO";629;629;2076;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17399;241850;15907;208;4063;2425;652;239;4515;44561;20052;0;2970
